Date,Close,High,Low,Open,Volume,symbol
,MOTISONS.NS,MOTISONS.NS,MOTISONS.NS,MOTISONS.NS,MOTISONS.NS,
2024-05-06,17.219999313354492,18.225000381469727,16.139999389648438,16.139999389648438,61929440,MOTISONS.NS
2024-05-13,17.040000915527344,17.469999313354492,16.6200008392334,17.389999389648438,11553920,MOTISONS.NS
2024-05-20,18.610000610351562,19.25,16.81999969482422,16.84000015258789,37545690,MOTISONS.NS
2024-05-27,17.104999542236328,19.540000915527344,17.024999618530273,18.885000228881836,22906370,MOTISONS.NS
2024-06-03,17.725000381469727,17.959999084472656,15.710000038146973,17.8700008392334,10797730,MOTISONS.NS
2024-06-10,17.207000732421875,18.299999237060547,17.104999542236328,17.900999069213867,16563950,MOTISONS.NS
2024-06-17,17.083999633789062,18.799999237060547,16.475000381469727,17.207000732421875,70372600,MOTISONS.NS
2024-06-24,16.520000457763672,17.200000762939453,15.91100025177002,17.200000762939453,13366850,MOTISONS.NS
2024-07-01,15.574999809265137,16.405000686645508,15.28499984741211,15.28499984741211,23444200,MOTISONS.NS
2024-07-08,15.256999969482422,15.98900032043457,15.001999855041504,15.774999618530273,14390450,MOTISONS.NS
2024-07-15,15.116999626159668,15.619999885559082,14.859999656677246,15.256999969482422,7837220,MOTISONS.NS
2024-07-22,15.654000282287598,16.575000762939453,14.043999671936035,14.805000305175781,31538710,MOTISONS.NS
2024-07-29,15.10099983215332,15.920000076293945,14.911999702453613,15.769000053405762,14999140,MOTISONS.NS
2024-08-05,17.100000381469727,17.520000457763672,14.020000457763672,14.975000381469727,98945730,MOTISONS.NS
2024-08-12,17.851999282836914,18.381000518798828,16.538999557495117,17.200000762939453,44050170,MOTISONS.NS
2024-08-19,18.68600082397461,19.40999984741211,17.913999557495117,17.913999557495117,64209500,MOTISONS.NS
2024-08-26,17.503999710083008,19.3799991607666,17.336999893188477,18.850000381469727,33224720,MOTISONS.NS
2024-09-02,19.611000061035156,20.555999755859375,17.549999237060547,17.549999237060547,132777190,MOTISONS.NS
2024-09-09,26.96299934387207,27.389999389648438,18.961999893188477,19.649999618530273,442967210,MOTISONS.NS
2024-09-16,28.756000518798828,29.399999618530273,24.399999618530273,27.200000762939453,182966590,MOTISONS.NS
2024-09-23,30.878000259399414,32.29999923706055,27.905000686645508,29.0,207913760,MOTISONS.NS
2024-09-30,29.979999542236328,32.98500061035156,29.600000381469727,30.81999969482422,90227470,MOTISONS.NS
2024-10-07,29.225000381469727,31.0,27.219999313354492,30.084999084472656,31897010,MOTISONS.NS
2024-10-14,29.940000534057617,30.700000762939453,28.920000076293945,29.56999969482422,14204400,MOTISONS.NS
2024-10-21,27.155000686645508,30.389999389648438,26.459999084472656,30.280000686645508,15616520,MOTISONS.NS
2024-10-28,29.540000915527344,29.950000762939453,27.18000030517578,27.44499969482422,11846130,MOTISONS.NS
2024-11-04,32.25,32.25,28.264999389648438,30.09000015258789,21910293,MOTISONS.NS
2024-11-11,26.850000381469727,33.79999923706055,26.450000762939453,32.79999923706055,13870088,MOTISONS.NS
2024-11-18,29.0,29.850000381469727,25.649999618530273,27.299999237060547,10280125,MOTISONS.NS
2024-11-25,27.75,30.399999618530273,27.5,29.850000381469727,5930931,MOTISONS.NS
2024-12-02,28.399999618530273,28.700000762939453,27.40999984741211,28.209999084472656,6116873,MOTISONS.NS
2024-12-09,28.40999984741211,29.790000915527344,27.850000381469727,28.899999618530273,6724998,MOTISONS.NS
2024-12-16,27.559999465942383,28.700000762939453,26.149999618530273,28.40999984741211,4964190,MOTISONS.NS
2024-12-23,26.510000228881836,27.989999771118164,25.610000610351562,27.489999771118164,3815708,MOTISONS.NS
